name,startRAh,startRAm,endRAh,endRAm,startDecd,startDecm,endDecd,endDecm,date
46,1,20,2,8,83,59,84,54,12-18-1783
47,2,52,3,42,86,42,88,12,12-18-1783
48,4,43,7,3,86,39,87,54,12-18-1783
49,7,31,7,54,115,14,116,22,12-18-1783
50,8,33,9,30,89,2,90,32,12-18-1783
51,9,42,10,2,76,19,77,49,12-18-1783
52,23,36,0,51,80,17,81,57,12-19-1783
54,3,27,4,21,90,15,92,0,12-19-1783
55,5,22,6,45,90,28,91,58,12-19-1783
57,8,39,9,2,81,56,83,26,12-19-1783
58,9,4,10,3,84,20,85,50,12-19-1783
59,10,50,11,21,82,50,84,20,12-19-1783
60,0,29,1,19,66,23,68,8,12-21-1783
61,1,53,2,6,88,36,90,21,12-21-1783
64,1,7,1,24,89,36,91,6,12-24-1783
65,6,17,7,5,93,0,94,30,12-24-1783
66,7,1,7,41,89,29,90,59,12-24-1783
67,5,47,6,20,80,22,81,52,12-26-1783
68,5,7,6,45,71,47,73,47,12-30-1783
69,7,10,7,35,71,55,73,55,12-30-1783
70,7,56,9,31,71,55,73,50,12-30-1783
71,10,6,11,13,71,55,73,50,12-30-1783
72,11,28,11,50,71,55,73,50,12-30-1783
74,12,29,12,38,71,46,72,4,12-30-1783
75,12,44,13,23,71,46,72,4,12-30-1783
76,2,51,4,30,84,38,86,38,1-16-1784
79,7,7,7,33,60,30,62,30,1-17-1784
81,5,51,6,21,78,37,80,44,1-18-1784
83,9,31,10,32,78,22,80,29,1-18-1784
84,10,48,11,20,78,22,80,29,1-18-1784
85,11,54,11,59,78,22,80,29,1-18-1784
86,12,25,12,28,78,22,80,29,1-18-1784
91,6,17,6,36,73,12,75,3,1-20-1784
92,8,8,8,49,73,5,74,56,1-20-1784
93,9,23,9,49,73,5,74,56,1-20-1784
96,2,47,3,30,88,28,90,22,1-23-1784
97,3,47,4,20,88,52,90,19,1-23-1784
99,4,54,6,4,88,20,89,39,1-23-1784
100,7,12,7,53,80,37,82,4,1-23-1784
101,7,57,9,18,80,39,82,4,1-23-1784
102b,9,49,10,45,80,25,81,59,1-23-1784
103,11,1,11,26,80,25,81,59,1-23-1784
104,12,5,12,7,80,25,81,59,1-23-1784
105,12,19,12,33,80,26,82,0,1-23-1784
106,12,38,12,39,80,26,82,0,1-23-1784
107,12,42,12,46,80,26,82,0,1-23-1784
108,12,42,12,46,80,26,82,0,1-23-1784
109,12,49,13,24,80,26,82,0,1-23-1784
110,13,59,14,17,80,26,82,0,1-23-1784
111,14,25,14,32,80,26,82,0,1-23-1784
112,2,46,4,4,83,20,84,46,1-24-1784
113a,4,26,4,31,83,56,85,19,1-24-1784
113b,4,31,5,10,84,26,85,49,1-24-1784
114,5,27,6,41,84,14,85,48,1-24-1784
115,7,48,8,28,84,15,85,49,1-24-1784
116,9,34,9,45,84,23,85,58,1-24-1784
117a,9,55,10,11,84,23,85,58,1-24-1784
117b,10,11,11,5,86,31,87,58,1-24-1784
118,11,39,12,2,86,31,87,58,1-24-1784
125,13,22,14,2,86,30,87,57,1-24-1784
127,6,23,6,55,69,26,72,17,1-25-1784
130a,8,11,8,47,93,3,94,42,1-28-1784
130b,8,50,9,27,93,3,94,42,1-28-1784
130c,9,27,10,12,93,3,94,42,1-28-1784
131,11,28,12,17,80,26,84,3,1-28-1784
134,14,15,14,49,79,0,81,5,1-30-1784
136,3,48,4,44,101,22,102,50,2-8-1784
137a,4,21,4,31,75,44,77,23,2-10-1784
137b,4,36,4,48,75,44,77,23,2-10-1784
138,5,46,7,12,76,44,78,32,2-11-1784
139a,7,23,7,26,76,44,78,32,2-11-1784
139b,7,36,7,43,76,44,78,32,2-11-1784
140a,8,59,9,17,76,51,78,39,2-11-1784
140b,9,17,9,38,76,51,78,39,2-11-1784
143a,4,32,4,41,70,26,72,41,2-15-1784
143b,4,41,4,54,70,11,72,26,2-15-1784
144,4,58,6,4,69,52,72,7,2-15-1784
145,6,12,6,51,68,34,71,5,2-15-1784
146,10,9,12,10,68,16,70,47,2-15-1784
147,4,48,5,19,73,11,75,22,2-19-1784
148,5,49,6,21,73,17,75,17,2-19-1784
149,6,25,6,45,73,15,75,15,2-19-1784
150,12,15,13,46,73,26,75,26,2-19-1784
152,9,57,10,13,88,33,90,20,2-22-1784
154a,11,53,12,7,88,32,90,19,2-22-1784
154b,12,16,12,53,88,32,90,19,2-22-1784
155,13,15,13,34,88,26,90,13,2-22-1784
156,5,44,8,37,82,35,84,24,2-23-1784
157,9,40,10,51,82,47,84,36,2-23-1784
158,10,53,13,20,84,46,86,29,2-23-1784
159,14,58,16,16,74,52,76,52,3-1-1784
160,6,18,7,2,73,57,76,21,3-8-1784
161,7,5,7,26,73,57,76,21,3-8-1784
162,6,18,6,29,77,34,79,48,3-11-1784
163a,6,31,7,44,78,3,80,17,3-11-1784
163b,7,44,9,45,78,24,80,38,3-11-1784
164a,9,46,10,7,76,35,78,59,3-11-1784
164b,10,7,10,20,77,3,79,27,3-11-1784
164c,10,20,11,6,76,35,79,27,3-11-1784
164d,11,6,11,14,76,35,78,59,3-11-1784
165a,6,41,7,5,65,56,68,28,3-12-1784
165b,7,8,7,30,65,56,68,28,3-12-1784
166,9,37,11,14,65,58,68,35,3-12-1784
167,11,59,12,25,65,58,68,35,3-12-1784
168a,6,38,6,57,67,42,70,9,3-14-1784
168b,6,57,7,14,67,42,70,9,3-14-1784
168c,7,14,7,44,67,57,70,24,3-14-1784
169a,8,34,9,42,68,4,70,31,3-14-1784
169b,9,42,9,48,69,0,71,27,3-14-1784
169c,9,48,10,10,68,4,70,31,3-14-1784
170a,10,43,12,5,69,51,71,45,3-14-1784
170b,12,5,14,42,69,58,71,50,3-14-1784
171a,15,21,15,37,69,52,71,46,3-14-1784
171b,15,37,15,56,69,52,71,46,3-14-1784
172a,7,17,7,31,77,5,79,6,3-15-1784
172b,7,31,8,1,76,29,78,30,3-15-1784
172c,8,1,9,48,76,38,78,39,3-15-1784
173,10,31,10,51,78,34,80,34,3-15-1784
174a,11,3,12,3,76,56,78,57,3-15-1784
174b,12,3,13,31,76,51,78,52,3-15-1784
175a,14,0,16,7,76,44,78,47,3-15-1784
175b,16,7,16,23,76,44,78,47,3-15-1784
176a,6,43,7,1,74,21,76,31,3-16-1784
176b,7,1,7,8,74,37,76,47,3-16-1784
178a,11,22,11,32,78,50,80,29,3-19-1784
